project_id,youtube_title,youtube_video_id,youtube_url,video_duration_seconds,avg_view_duration_seconds,retention_ratio,retention_source,views,likes,comments
script-taletree-matt-hagger,"25 Years of Building Startups Explained in 17 Minutes | TaleTree, Matt Hagger",pztijFSlfZs,https://www.youtube.com/watch?v=pztijFSlfZs,1036,,0.418,estimated,11172,380,4
rundown-ai-rowan-cheung-full-script,"How to Hit 2M Subs in 2 Years Building an AI Newsletter | The Rundown AI, Rowan Cheung",UwoflMkwL40,https://www.youtube.com/watch?v=UwoflMkwL40,872,,0.3688,estimated,41531,391,14
script-jacob-bank-ep2,"He Replaced His Entire Marketing Team with 40 AI Agents | Relay.app, Jacob Bank",OHJJKrJCSRU,https://www.youtube.com/watch?v=OHJJKrJCSRU,945,,0.4633,estimated,8316,471,20
legora-full-script,"He Built a $5.5B Legal AI Company by 26 | Legora, Max Junestrand",I-BERqPprrc,https://www.youtube.com/watch?v=I-BERqPprrc,593,,0.4227,estimated,28211,1026,34
script-radical-ai,"Everyone’s Misunderstanding AI’s True Potential | Radical AI, Joseph F. Krause",zwXz30EYyfQ,https://www.youtube.com/watch?v=zwXz30EYyfQ,1244,,0.4043,estimated,22062,599,25
script-figmaoct2025,From $0 Ad Spend to $12.5B: The Figma StoryㅣClaire Butler & Corey Lee,7gEdL3vQvKQ,https://www.youtube.com/watch?v=7gEdL3vQvKQ,1359,,0.3997,estimated,10137,252,6
script-minna-song-elise-ai,"How a Cockroach Startup Became a $2.2B Market Leader | EliseAI, Minna Song",5y9crq8f-Hs,https://www.youtube.com/watch?v=5y9crq8f-Hs,901,,0.4128,estimated,66921,2101,41
script-arunarticul8,"What Young Founders Get Wrong About Startups | Articul8, Arun Subramaniyan",C0AlI0oc9q4,https://www.youtube.com/watch?v=C0AlI0oc9q4,1167,,0.4064,estimated,12192,344,14
script-prepared,"How I Exited My Al Startup for $640M at Age 25 | Prepared, Michael Chime",CvpMjBDHFGM,https://www.youtube.com/watch?v=CvpMjBDHFGM,1073,,0.4038,estimated,23172,623,19
script-counsel-health,"How to Find $100M+ Startup Ideas in Any Market | Counsel Health, Muthu Alagappan",PcbPBj_xXes,https://www.youtube.com/watch?v=PcbPBj_xXes,646,,0.4068,estimated,12750,362,11
script-jeremy-utley-ep2,The 5 Step Playbook for 10x Your AI Productivity | Jeremy Utley,yMOmmnjy3sE,https://www.youtube.com/watch?v=yMOmmnjy3sE,1483,,0.4095,estimated,510074,15185,487
script-series,"A Yale Student Raised $3.1M in 2 Weeks for an AI Social App | Series, Nathaneo Johnson",8Nd_39d5q9A,https://www.youtube.com/watch?v=8Nd_39d5q9A,607,,0.412,estimated,50447,1563,121
dylan-fox-assemblyai-script,"Investors Don't Make Your Product Better | AssemblyAI, Dylan Fox",0x-v4yQrWXY,https://www.youtube.com/watch?v=0x-v4yQrWXY,852,,0.4006,estimated,11611,294,7
script-traversal,"This is the Biggest Hidden Risk of AI | Traversal, Anish Agarwal",WXLVCZIUxpY,https://www.youtube.com/watch?v=WXLVCZIUxpY,778,,0.3959,estimated,12559,288,12
granola-christoper-full-script,"How to Build a Product that Hits PMF on Day 1 | Granola, Christopher Pedregal",hbGQaAXZ5UU,https://www.youtube.com/watch?v=hbGQaAXZ5UU,962,,0.4141,estimated,12957,415,21
nirav-tolia-founder-nextdoor,"What 30 years in Silicon Valley taught me | Nextdoor, Nirav Tolia",J_pWyYxu6qE,https://www.youtube.com/watch?v=J_pWyYxu6qE,1228,,0.3914,estimated,7443,154,7
arlan-rakhmetzhanov-nozomio-interview-full-script,"How an 18-Year-Old High School Dropout Raised $6.2M | Nozomio, Arlan Rakhmetzhanov",KBY0z6jSQsA,https://www.youtube.com/watch?v=KBY0z6jSQsA,879,,0.4611,estimated,39539,2196,63
script-sam-liang-otterai,"35M Users. $100M ARR. My 10-Year Bet Was Right. | Otter.ai, Sam Liang",7yMetPnsFT0,https://www.youtube.com/watch?v=7yMetPnsFT0,490,,0.4142,estimated,4051,130,3
alan-paypal-ventures-magic,They Invested Their Own $1.5M For 6 Years in a Robot | Matic,TRqA9XzGLok,https://www.youtube.com/watch?v=TRqA9XzGLok,717,,0.3754,estimated,67827,860,35
shortcut-nico-christie-full-script,"How a Miami Dunker built Shortcut, the Excel AI Agent | Fundamental Research Labs, Nico Christie",AOlmBo16wD8,https://www.youtube.com/watch?v=AOlmBo16wD8,641,,0.4064,estimated,5210,147,7
script-github-head-of-designdiana,"A Designer Who Saved 150M+ Developers | GitHub, Diana Mounter(Former Head of Design)",xutwpmlTYmE,https://www.youtube.com/watch?v=xutwpmlTYmE,1017,,0.4087,estimated,18841,553,30
warp-full-script,"Leadership Lessons from a $30B Startup IPO | Snowflake CFO, Mike Scarpelli",-FOPuOIv7iM,https://www.youtube.com/watch?v=-FOPuOIv7iM,877,,0.3837,estimated,77082,1297,31
youcom-script,"How Prompt Engineering Inventor Built $1.5B in 3 Years | You.com, Richard Socher",LgewaIpQVko,https://www.youtube.com/watch?v=LgewaIpQVko,724,,0.4127,estimated,16579,520,8
script-john-kim-paraform-2026-2nd-filming,"3 Lessons on Building $1B Business | John Kim, Sendbird",4uqLAmjvBEY,https://www.youtube.com/watch?v=4uqLAmjvBEY,892,,0.4162,estimated,22232,736,14
script-kalshi-traders,How we convinced the US Government to allow event trading l Kalshi Tarek Mansour,uXNtZjiwhEc,https://www.youtube.com/watch?v=uXNtZjiwhEc,638,,0.408,estimated,14333,416,38
rocket-full-script,"How I Got Half a Million Users in Just 16 Weeks | Rocket.new, Vishal Virani",zMuGbkFtE9E,https://www.youtube.com/watch?v=zMuGbkFtE9E,653,,0.4169,estimated,23029,770,20
script-layerzero-full-script-after-editing,"While You Build Casinos, We Build Real Finance | LayerZero, co-founders",Ha2l1ecmI2Y,https://www.youtube.com/watch?v=Ha2l1ecmI2Y,1515,,0.4206,estimated,14089,497,15
